,Ceylon Blue Sapphire
241,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109122
242,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108780
243,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-bracelet-b5
244,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134424
245,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109432
246,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/royal-blue-sapphire-gp72124
247,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109465
248,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109856
249,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/royal-blue-sapphire-gp72125
250,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-bracelet-b6
251,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp107971
252,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp87066
253,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/pitambari-neelam-gp111048
254,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/royal-blue-sapphire-gp96177
255,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109136
256,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-bugget-diamond-white-gold-engagement-ring-er-7
257,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-bugget-diamond-rose-gold-engagement-ring-er-7
258,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp111946
259,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp110330
260,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-bracelet-b6
261,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-bugget-diamond-gold-engagement-ring-er-7
262,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-pendant-design-d1
